period,561311,561320,561312,561330,year,quarter,561311_seasonal,561311_sa,561320_seasonal,561320_sa,561312_seasonal,561312_sa,561330_seasonal,561330_sa
2017 Q3,49431,401390,3087,39295,2017,3,1.0030357259860032,49281.39518800129,0.9916502498592308,404769.726077293,0.9968855981484944,3096.644194412532,1.0016095532556712,39231.85424127993
2017 Q4,50874,418907,3125,42524,2017,4,1.045778277569979,48647.023074731755,1.0266008777590525,408052.44674485776,1.0229037159115872,3055.028495243147,1.0451334186630639,40687.628240226746
2018 Q1,46256,401245,3274,38641,2018,1,0.9797355882535059,47212.73837000937,1.0077751484243231,398149.3298652529,0.9893593672669919,3309.2121107056414,0.9716592865710382,39768.055051851705
2018 Q2,43769,391499,3214,39558,2018,2,0.9714504081905114,45055.31073019679,0.9739737239573932,401960.5358646475,0.9908513186729263,3243.6753521250757,0.9815977415102267,40299.60372477881
2018 Q3,44441,399251,3280,39524,2018,3,1.0030357259860032,44306.49761384486,0.9916502498592308,402612.7155785777,0.9968855981484944,3290.247151821544,1.0016095532556712,39460.486245892556
2018 Q4,44236,413768,3295,40904,2018,4,1.045778277569979,42299.59729397794,1.0266008777590525,403046.60648957,1.0229037159115872,3221.2220453843743,1.0451334186630639,39137.58690476519
2019 Q1,41489,404445,3238,38469,2019,1,0.9797355882535059,42347.139878790185,1.0077751484243231,401324.64134718734,0.9893593672669919,3272.8249280589084,0.9716592865710382,39591.03826996411
2019 Q2,40205,387499,3339,39570,2019,2,0.9714504081905114,41386.56967048738,0.9739737239573932,397853.6488905847,0.9908513186729263,3369.8294961871898,0.9815977415102267,40311.82869178162
2019 Q3,40871,391977,3460,41811,2019,3,1.0030357259860032,40747.30235538024,0.9916502498592308,395277.468094868,0.9968855981484944,3470.8094955190677,1.0016095532556712,41743.81111291907
2019 Q4,41016,396030,3562,45268,2019,4,1.045778277569979,39220.55074169905,1.0266008777590525,385768.2265619004,1.0229037159115872,3482.243680017949,1.0451334186630639,43313.13035411966
2020 Q1,38054,388586,3523,43162,2020,1,0.9797355882535059,38841.09187850953,1.0077751484243231,385587.9960996876,0.9893593672669919,3560.8901240122095,0.9716592865710382,44420.92058042037
2020 Q2,33944,320533,3494,42046,2020,2,0.9714504081905114,34941.567488994486,0.9739737239573932,329098.2006143133,0.9908513186729263,3526.260634824211,0.9815977415102267,42834.2468833624
2020 Q3,32462,306076,3300,45437,2020,3,1.0030357259860032,32363.752515484168,0.9916502498592308,308653.17690733087,0.9968855981484944,3310.309634454602,1.0016095532556712,45363.98425145785
